0-##221118 @!HUGH-DOWNS ,"[6, "" Good evening . I 'm Hugh Downs ""]"
161-STOSSEL,"[55, ""  What 's happening now is that she 's trying to go to college and work full time at this deli to pay for it . But she can barely do that because sleepwalking at night makes her so tired during the day . You 'd be tired , too , if you spent your nights doing what she does . ""]"
162-Ms SEEKON ,"[17, "" I 'll walk around the house . I beat up my room , I take things off the walls ""]"
163-STOSSEL,"[8, ' What do you mean ,  beat up your room  . ']"
164-Ms SEEKON ,"[31, "" I do n't know . I just go crazy and I hit whatever 's in my way . I break things . I take everything off the walls and put them on the floor ""]"
165-STOSSEL,"[11, '  One night , she ripped her bedroom door right off its hinges . ']"
166-Ms SEEKON ,"[22, "" My dad came downstairs and he asked me what I was doing and I said  I 'm not sure  and           to bed ""]"
167-STOSSEL,"[10, "" Normally , you would n't be strong enough to do that . ""]"
168-Ms SEEKON ,"[1, ' Right ']"
169-STOSSEL,"[10, ' So something happens in your sleep that really changes you . ']"
170-Ms SEEKON ,"[9, "" Yeah . It 's like you 're a different person . ""]"
171-Dr SCHENCK ,"[28, "" The brain can get so energized in sleep that it is capable of generating behaviors that people can not do while they 're awake , this amazing superhuman strength ""]"
172-STOSSEL,"[26, ""  Yet , while your body may be working well , your mind probably is n't . Sleepwalkers often display very poor judgment . For example , sometimes , they eat strange things . ""]"
173-Dr SCHENCK ,"[43, "" They can make cat food sandwiches , salt sandwiches , butter their cigarettes , put on three or four sets of clothing at a time or walk out into the snow in the winter when it 's 20 below zero in Minnesota without any clothes on ""]"
174-STOSSEL,"[4, ' Does this scare you . ']"
175-Ms SEEKON ,"[64, "" Yeah . I 'm afraid to go to sleep at night and I 'm afraid I 'm going to hurt myself           I was - I 'm not sure what I was kicking , but I hurt my foot really bad and I thought it was broken . So I had to go to the hospital and get it x-rayed . And then he referred me here to the clinic ""]"
176-STOSSEL,"[63, ""  Once the electrodes are attached , Sandy is sent to bed . She 'll spend the next two nights here . She probably wo n't sleepwalk , she says , because as far as she knows , she sleepwalks only once every week or two . In any case , the camera will record what she does . And what did she do . Well , one hour into the first night , Sandy screams . ""]"
177-Ms SEEKON ,"[6, "" asleep I wo n't want to ""]"
178- STOSSEL ,"[19, '  Other patients complained it woke them up , but Sandy never woke up . interviewing Did you sleepwalk last night , here . ']"
179-Ms SEEKON ,"[9, "" I 'm not sure what I did last night ""]"
180-STOSSEL,"[17, ' Well , I can tell you , because I just watched the tape , that you           Do you remember that . ']"
181-Ms SEEKON ,"[3, ' Not at all ']"
182-STOSSEL,"[120, "" The experts say that 's typical . It 's like getting a phone call in the middle of the night . You may be able to carry on a coherent conversation , but do you remember any of it the next morning . Probably not .  That 's one reason the camera 's helpful , to convince sleepwalkers that they really do what they do . On Sandy 's second night , she stands up and almost hurts herself . A technician runs in to check on her . Sandy never wakes up . She just settles back into bed . Now , sleepwalking like this can be dangerous not just to the sleepwalker , but also to others . One night Mel dreamed he was wrestling a deer and had to break its neck . ""]"
183-Mr ABEL ,"[45, "" I 'll just put one hand under your chin like this and one up here and then give you snap like that and snap the neck , you know . But when I put my hand up here ,           in the world are you trying to do .  Mrs""]"
184- ABEL ,"[49, ' When he even touches now to do that , it just scares me . I mean , I went through it a lot with his dreams , but this time , he just was going to , I thought , choke me . And I jumped up and I says ,  What in the devil are you doing .  ']"
185-Mr ABEL ,"[35, ' Well , I came to right away and I just sat there for about a minute and then I started to cry . I thought ,  Oh , my God . I could have broke her neck and killed her ']"
186-  STOSSEL ,"[125, ""  Others have killed . One night two years ago , Ken Parks of Ontario , Canada , got out of bed , drove his car 14 miles , entered his mother-in-law 's house and stabbed her to death . At the trial , he said ,  I do n't remember a thing .  Sleep experts said that , based on his sleep patterns and on his           did the court . He was acquitted . Murderers have used this defense more than a dozen times . The jury does n't always believe it . on camera Which brings us to the question , what should you do if you or if someone you know sleepwalks . Well , the experts say if it happens only once or twice , there 's no need to go to a sleep lab. interviewing Should you wake the sleepwalker . ""]"
187-Dr SCHENCK ,"[9, ' No . I would redirect the sleepwalker back to bed ']"
188-STOSSEL,"[5, ' Why not wake them up . ']"
189-Dr SCHENCK ,"[37, "" If someone is in the midst of an agitated episode , you can get socked in the face trying to wake them up . So it 's better to duck and try to have them get back to bed ""]"
190-STOSSEL,"[73, ""  Then , if it keeps happening , get to a sleep lab . Evaluation will cost about $1,000 to $2,000 , but the labs can help . Most give patients a small dose of a tranquilizer or sleeping pill . At higher doses , the drugs can make           doctors say , under medical supervision they 're safe and they usually work instantly . It 's now two months since Sandy went to the clinic . She says she feels like a new person . ""]"
191-Ms SEEKON ,"[39, "" Before , I would never wake up like before noon and now , I wake up , without an alarm clock , like at seven or eight a.m . Once in a while , I 'll talk in my sleep and walk , but very seldom ""]"
192-STOSSEL,"[27, "" voice- over The medication worked for Marv as well . After 50 years of sleepwalking , he has n't walked once since he started taking the drug . And Mel . ""]"
193-Mr ABEL ,"[49, "" It 's a miracle . I still dream , but my dreams are altogether different . Maybe I should n't be saying this . I get to thinking that I 'm back to 17 or 18 and I wake up in the morning and I thought ,  Oh , gee . That was only a dream ""]"
194-  STOSSEL ,"[21, "" It 's so good when people get exactly the help           know what those physical causes of sleepwalking are . They said physical ""]"
195-STOSSEL,"[31, "" No . They think it 's physical because it 's genetic . It runs in families . They think it has something to do with the nervous system , but they do n't know what ""]"
196-DOWNS,"[32, ' It runs in families . That interests me because my father was a sleepwalker . He did wild things like throw the bedclothes out the window and stuff . But he never hurt anybody , though ']"
197-STOSSEL,"[8, ' And you . Are you eating the catfood sandwiches ']"
198- DOWNS ,"[49, "" No . To my knowledge , I do n't sleepwalk . I 'm sure my wife would inform me if I did . But that - people eating sandwiches . That means that there could be people who honestly think they 're on a diet who are eating food that they do n't know about ""]"
199-STOSSEL,"[25, "" And they gain weight , they wake up with a terrible taste in their mouth , they do n't get the pleasure of eating . It 's strange ""]"
200-DOWNS,"[5, ' Fascinating subject . Thank you , John ']"
201-WALTERS,"[32, '           now on . It was in my sleep . It was in my sleep . Well , when we come back , the pulse of the drug war , including George Shultz on the matter of legalizing drugs ']"
202- Commercial break Drug War Status Report WALTERS ,"[205, "" Think of the drug problem as a many-headed monster . No single thing , neither the seizure of a dictator nor the fried-egg drug commercial , is going to end it . We 're reminded in preparing our weekly Drug War Status Reports that we need enforcement , treatment and prevention . Here 's news from some of those fronts .  After Panama , Colombia has said no to U.S. ships off its cost . With Panama knocked out , ship surveillance might have forced traffickers to use Pacific routes that are more dangerous . In Washington , the percentage of criminal defendants testing positive for drugs has dropped in recent months to 58 percent . That could be a positive sign if it continues . on camera Going up is the value of cash and property seized from convicted drug dealers and           and three years ago , it was only about one hundred million .  How many drug abusers are there . The latest estimates are 14.5 million with only 800,000 in treatment and another 70,000 on waiting lists that can run as long as six months . We have more . When the subject is legalizing drugs , advocates are sure to drop the name of former Secretary of State , George Shultz . This week , on The MacNeil / Lehrer NewsHour , he discussed his view ""]"
"203- GEORGE SHULTZ , Former Secretary of State ","[81, "" Is there some way we can figure out in which , through some controlled and careful manner , we make drugs - we get to the people who are taking drugs and we try to treat them . We have to make drugs available to them in many cases , I 'm sure , but basically to beat the criminals by taking away their market . Now , I do n't know whether that can be done or not , but I think we ought to be working on that ""]"
204-WALTERS,"[11, ' Talking about exploration           75 percent of the country is against legalization ']"
205-DOWNS,"[27, "" That 's still high , but in spite of that , there 's a growing list of conservative thinkers who favor legalization or at least to debate about it ""]"
206-WALTERS,"[6, '  Explore ,  as the Secretary said , yeah ']"
207-DOWNS,"[20, "" Right . Yeah . Thank you , Barbara . Time now to go to Ted Koppel for a word about tonight 's Nightline . Ted ""]"
208- TED KOPPEL ,"[48, "" Hugh , can you think of a time you were glad that the person on the other end of the phone line did n't know where you were . Well , thanks to modern telephone technology , that time may be past . And that 's the focus of our story tonight . Hugh ""]"
209- DOWNS ,"[19, ' Thanks , Ted . I believe that covers us . That is 20/20 for tonight . We thank you for being with us ']"
210-WALTERS,"[24, "" And , as always - you know what I 'm going to say - we 're in touch , so you be in touch . I 'm Barbara Walters ""]"
211-DOWNS,"[9, ' And           20/20 , good night and have a good weekend ']"
