0-##221119 @!HUGH-DOWNS ,"[6, "" Good evening . I 'm Hugh Downs ""]"
152-STOSSEL,"[33, '  The Phoenix doctor says these small doses of phenol are not dangerous ,           also alarmed about the way the procedure is sold . For example , the Phoenix doctor regularly holds seminars to drum up business ']"
153- PHOENIX DOCTOR ,"[14, ' This is a very , very good friend of mine . She was extremely ugly before ']"
154-STOSSEL,"[17, '  The doctor brought in some happy customers . You can see their  before  pictures pinned to their blouses ']"
155- PHOENIX DOCTOR ,"[8, "" Everybody that thinks she 's beautiful , applaud . Rep""]"
"156- RON WYDEN , ( D ) Oregon ","[21, ' Now , we have proof that pitches that were formerly reserved for land schemes and selling blenders have come to modern medicine ']"
157-STOSSEL,"[88, ""  Congressman Ron Wyden of Oregon chaired hearings last November that looked into the chemical peel franchise business . Michael Wallerstein ran one of those operations , the one done out of that big house in Florida . We were not allowed to record his testimony , nor would he talk to us . But we were able to talk to this man , Ron Bennett . He used to be in business with Wallerstein . He 's the man who           he made a million dollars a month training doctors . interviewing You do train psychiatrists or anybody ""]"
"158- RONALD BENNETT , former Chemical Peel Promoter ","[10, ' I did . I trained - well , I only trained one psychiatrist ']"
159-STOSSEL,"[1, ' Gynecologists . ']"
160-Mr BENNETT ,"[23, "" Gynecologists , yes . Of course , here , you 're dealing with a doctor who deals with women and this is mainly of the female-type operation ""]"
161-STOSSEL,"[10, ' But this is a skin operation . Things can go wrong . ']"
162-Mr BENNETT ,"[34, "" Things can go wrong if - but not with my training . They 'll understand it . The procedure itself is comparatively simple . It 's knowing how , like anything else . Once you learn how , it 's simple ""]"
163-STOSSEL,"[32, ' When I look at your literature , what I see is money . I can see why people say this is about the money .  Great money . Great hours . Profits . More than $200,000 a year .  ']"
164-Mr BENNETT ,"[25, "" Well , to some degree , when we 're talking to a physician , it is about           there for his money . He 's not there for his health ""]"
165-STOSSEL,"[24, ""  It was Bennett who trained the doctor who injured Brenda Ordoyne , but we know of no one who 's been injured by Bennett himself . ""]"
166-Mr BENNETT ,"[51, "" My record speaks for itself , that I care about patients . ' Cause if I did n't care about patients in 25 years and over 7,000 faces that I 've done I sure as hell would have a lot more problems than I did . And I did n't have any problems with patients ""]"
167-STOSSEL,"[13, "" I just do n't know how much of what you say to believe . ""]"
168-Mr BENNETT ,"[5, ' The record speaks for itself ']"
169-STOSSEL,"[14, "" But you also you 're a doctor and you went to this school and - ""]"
170-Mr BENNETT ,"[40, ' Let me make something very clear here . I never went to school , medical school to practice medicine . I went for the knownledge . The only thing I wanted to do , right from the very beginning , was to do these chemical peels ']"
171-STOSSEL,"[4, ' But did you even           ']"
172-STOSSEL,"[8, "" But why ca n't we find the school . ""]"
173-Mr BENNETT ,"[14, "" The school is no longer there . That 's why you ca n't find it ""]"
174-STOSSEL,"[60, "" voice- over Bennett says he got his medical degree from the Universidad del Caribe in Caracas , Venezuela , but we can find no record of it ever having existed . interviewing But if the school existed , doctors who trained at that time would have heard about it . The World Health Organization would have heard about it . Nobody 's heard of this place . ""]"
175-Mr BENNETT ,"[5, ' It was there , believe me ']"
176-STOSSEL,"[28, '  We could also find no trace of where Bennett says he got a Ph.D . in biochemistry. interviewing What about the school in Naples . We talked with hospitals there - ']"
177-Mr BENNETT ,"[13, "" The Pontzen Academy of Science and Arts . Why , I know it 's there ""]"
178-STOSSEL,"[19, "" The state university says ,  We 're the only people allowed to give these degrees . There is no such place .  ""]"
179-Mr BENNETT ,"[36, "" Oh , I do n't know who           . I agree with you that my medical education is sort of , you might say , a little blotchy here and there and it was n't in the United States . So what ""]"
180- STOSSEL ,"[9, ' But I wonder if you just made it up . ']"
181-Mr BENNETT ,"[20, "" We 're not talking about my medical training , we 're talking about the treatment and the validity of the treatment ""]"
182-STOSSEL,"[75, ""  Bennett 's fuzzy medical credentials have n't kept him from being a big success in the alternative therapies field . He ran this health spa in the Caribbean and published this book offering nutritional therapies and unusual cures for lots of disease . interviewing Sheep cells injected into your butt will help cure heart disease . And the Electric Brain Tuner . It gives  easy , inexpensive , and immediate relief  for problems like depression , drug addictions and heroin and cocaine . ""]"
183-Mr BENNETT ,"[12, "" The only thing they have n't had success with is smoking . Yes ""]"
184-STOSSEL,"[26, ""  Bennett recently sold his peel business to this man , .Dr Frank Kutilek , a           interviewing Does it make you nervous when he 's connected to these things . ""]"
"185-Dr FRANK KUTILEK , Osteopath ","[37, "" No , it really does n't . The treatment works . That was my concern , that it worked . The controversy around .Dr Bennett I think is secondary . The important thing to me is that it works and it 's safe ""]"
186-STOSSEL,"[32, ""  Well , it does work and lots of operations have been done safely . But before you have it done , I 'd make sure you have a doctor who knows what he 's doing . ""]"
187-Dr VICTOR ,"[41, "" Remember , we 're not talking about simple things like fixing a car . If you fix the car wrong , you can buy a new one . You get one face . You make a big mistake on the face , it 's a big mistake ""]"
188-WALTERS,"[25, "" You know , John , you 've brought us other reports where there were dangers , where most of the time it works , but sometimes it does n't ""]"
"189- And I always find myself asking ,  How           ","[49, "" It 's very tough in any of these cases . You want to go to someone who does a lot of these operations ' cause they tend to have fewer complications . But beyond that , in this case , what the experts said is go to someone who learned this in medical school ""]"
190- And that means three specialties ,"[35, ' either dermatologists , plastic surgeons or ear , nose , throat doctors who went to school in the last ten years . They learned it with the proper supervision and they know what to do if something goes wrong ']"
191-WALTERS,"[13, "" Yeah , that 's important . When would you do this instead of a facelift ""]"
192- STOSSEL ,"[38, "" Well , I would n't do either , but the facelift does more . This just removes fine wrinkles . The facelift , by making an incision , can actually fight gravity and deep wrinkles . This is just for sun damage on fair-skinned people ""]"
193-WALTERS,"[17, "" And you should n't just go by an ad . I mean , more and more people are advertising ""]"
194-STOSSEL,"[3, ' More are advertising ']"
195- That           WALTERS ,"[4, "" Just ' cause they advertise ""]"
196-STOSSEL,"[6, ' - just because they run an ad ']"
197-WALTERS,"[3, ' Yeah . Thanks , John ']"
198-STOSSEL,"[1, ' Thanks ']"
199-DOWNS,"[13, "" We 'll have our regular check on the drug war right after this ""]"
200- Commercial break The Drug War Status Report DOWNS ,"[199, "" It led the evening news . Washington , D.C. Mayor Marion Barry was arraigned today and charged with possession of crack cocaine . He had been arrested last night in a sting operation . The mayor entered no plea , but his lawyer said he was innocent and asked for a jury trial . Well , turning now from our nation 's capital to how the drug war is going nationwide - which is something we do each week , paying special attention to how our elected officials are responding - one of the most frequent criticisms of President Bush 's drug strategy is that it shortchanges desperately needed treatment programs . Out of a drug budget of over eight billion dollars , only $900 million are earmarked for prevention and treatment . What are addicts up against when they go to publicly funded           's Drug Status Report .  An example is the Odyssey House , a residential treatment program in New York City . Addicts who come here expecting immediate help will find it 's not available . Pat has been addicted to a variety of drugs for seven years . He stopped 11 days ago . Odyssey House wo n't see people who are high . He had to wait two weeks just for this initial appointment ""]"
"201- NELSON SAMANIEGO , Admissions Counselor ","[10, ' What is the primary drug or drug combination you use ']"
"202- PAT , Drug Addict ","[2, ' Angel dust . ']"
203-Mr SAMANIEGO ,"[11, ' Angel dust . Primary . How often do you use this angel dust ']"
204- PAT ,"[5, ' About three times a week ']"
205-DOWNS,"[25, ""  Pat told us he 's worried that if he does n't get treatment , he 'll hit bottom , lose his family and end up in prison . ""]"
206-Mr SAMANIEGO ,"[24, "" What you 're going to have to do , you 're going to have to call on a daily basis and check for bed space ""]"
207-DOWNS,"[7, ' voice- over The situation for Pat           Walker ']"
"208- BENJAMIN WALKER , President / CEO , Odyssey House ","[52, "" They need help . They want immediate help and they end up being told ,  I 'm sorry . You have to wait six weeks before you 're inducted .  And he wants to change his life , he 's in desparate need to make changes and then he finds out that there are no beds available ""]"
209- ADMISSIONS COUNSELOR ,"[14, ' on telephone Call back tomorrow Melanie . She wants to know what the verdict is . ']"
210-Mr SAMAMIEGO ,"[66, "" We have clients call in after their interview , after they 're accepted , found acceptable . They call in on a daily basis and this way , we determine who is motivated , who is not . We may have a client who attends a screening and then never calls . So theoretically , a person could come in here and be 20th on the waiting list and 19 people may not call ""]"
211-DOWNS,"[16, ""  Are those 19 lost forever because the system was n't prepared . It 's a growing concern . ""]"
212-Mr WALKER ,"[8, '           are people that will fall through the cracks ']"
213-DOWNS,"[27, '  Odyssey House offers several programs . The waiting period ranges from a few weeks for adolescents to up to four months for their program for mothers with children . ']"
214-Mr WALKER ,"[57, "" The waiting list is a national phenomenon . It 's not just a New York State phenomenon . And so programs in Utah , programs in Texas , programs in other states and the West Coast are facing the same crisis that we are . And that 's one of the reasons why there 's a national focus on addressing waiting lists . ""]"
215-Mr SAMANIEGO ,"[15, "" And you call me every day and you 'll be here before you know it . ""]"
216-Mr WALKER ,"[29, "" See , you can not have a war on drugs and allocating the foot soldier one thousand bullets per battle and that 's it . You will not win that war ""]"
217-DOWNS,"[42, "" Of course , treatment of addicts alone is not going to solve the nation 's problem , but you ca n't help wondering how progress would be affected if we began to           drugs , even at the expense of some interdiction and punishment efforts . Barbara ""]"
218- WALTERS ,"[9, "" And now , a word about tonight 's Nightline . Ted ""]"
219- TED KOPPEL ,"[45, "" Barbara , what we 're going to look at is what happens when the leader of the anti-drug campaign in the nation 's capital is arrested and arraigned on drug charges himself . We 'll look at the story of Washington 's Mayor Marion Barry tonight . Hugh ""]"
220- DOWNS ,"[19, "" That 's Nightline after your local news . And that is 20/20 for tonight . Thank you for being with us ""]"
221-WALTERS,"[15, "" As always , we 're in touch , so you be in touch . I 'm Barbara Walters ""]"
222-DOWNS,"[5, "" And I 'm Hugh Downs ""]"
223-WALTERS,"[12, ' And for everyone here at 20/20 , good night , have a good weekend ']"
